ip,anonblock,proxy,vpn,cdn,public-wifi,rangeblock,school-block,tor,webhost
1.0.0.0/24,False,True,False,True,False,False,False,False,False
1.0.170.50,False,True,False,False,False,False,False,False,True
1.0.171.213,False,True,False,False,False,False,False,False,False
1.0.254.16,False,True,False,False,False,False,False,False,True
1.1.1.0/24,False,True,False,True,False,False,False,False,False
1.1.220.100,False,True,False,False,False,False,False,False,True
1.1.237.88,False,True,False,False,False,False,False,False,False
1.2.211.214,False,True,False,False,False,False,False,False,True
1.4.131.68,False,True,False,False,False,False,False,False,False
1.4.157.35,False,True,False,False,False,False,False,False,False
1.4.195.114,False,True,False,False,False,False,False,False,True
1.4.198.152,False,True,False,False,False,False,False,False,True
1.9.167.35,False,True,False,False,False,False,False,False,True
1.10.232.206,False,True,False,False,False,False,False,False,True
1.12.0.0/16,False,True,False,False,False,False,False,False,True
1.13.0.0/16,False,True,False,False,False,False,False,False,True
1.14.0.0/16,False,True,False,False,False,False,False,False,True
1.15.0.0/16,False,True,False,False,False,False,False,False,True
1.20.143.171,False,True,False,False,False,False,False,False,False
1.20.169.41,False,True,False,False,False,False,False,False,False
1.20.169.188,False,True,False,False,False,False,False,False,True
1.20.200.154,False,True,False,False,False,False,False,False,False
1.20.214.46,False,True,False,False,False,False,False,False,False
1.20.235.153,False,True,False,False,False,False,False,False,True
1.20.255.213,False,True,False,False,False,False,False,False,False
1.21.115.42,False,True,True,False,False,False,False,False,False
1.21.121.201,False,True,False,False,False,False,False,False,False
1.21.224.0/19,False,True,False,False,False,False,False,False,True
1.32.192.0/18,False,True,False,False,False,False,False,False,False
1.33.43.136,False,True,True,False,False,False,False,False,False
1.33.222.181,False,True,False,False,False,False,False,False,False
1.34.234.17,False,True,False,False,False,False,False,False,False
1.36.222.0/24,False,True,False,False,False,False,False,False,False
1.38.140.75,False,True,False,False,False,False,False,False,True
1.40.65.161,True,False,False,False,False,False,False,False,False
1.52.52.213,False,True,False,False,False,False,False,False,False
1.52.198.221,False,True,False,False,False,False,False,False,True
1.52.244.167,False,True,False,False,False,False,False,False,False
1.52.252.24,False,True,False,False,False,False,False,False,True
1.53.55.208,False,True,False,False,False,False,False,False,False
1.53.92.155,False,True,False,False,False,False,False,False,False
1.53.95.18,False,True,True,False,False,False,False,False,True
1.53.107.53,False,True,False,False,False,False,False,False,False
1.53.126.243,False,True,True,False,False,False,False,False,False
1.53.131.171,False,True,False,False,False,False,False,False,False
1.53.153.191,False,True,True,False,False,False,False,False,False
1.53.198.2,False,True,False,False,False,False,False,False,False
1.53.212.51,False,True,True,False,False,False,False,False,False
1.53.239.212,False,True,False,False,False,False,False,False,False
1.54.69.219,False,True,False,False,False,False,False,False,False
1.54.120.226,False,True,False,False,False,False,False,False,False
1.54.134.183,False,True,False,False,False,False,False,False,False
1.54.175.34,False,True,False,False,False,False,False,False,False
1.54.180.239,False,True,False,False,False,False,False,False,True
1.55.22.205,False,True,False,False,False,False,False,False,True
1.55.60.47,False,True,False,False,False,False,False,False,False
1.55.65.170,False,True,True,False,False,False,False,False,False
1.55.112.209,False,True,True,False,False,False,False,False,False
1.64.69.0/24,False,True,False,False,False,False,False,False,False
1.66.33.0/24,False,True,False,False,False,False,False,False,False
